Refcodes,Delta_conformational_energy(kJ/mol),components
GADSIO01_GADSIO,0.0003518170104541696,2_2
GADSUA01_GADSUA,8.351794264870364,1_1
GAFPEI01_GAFPEI,0.000105019486341007,1_1
GAKWIA01_GAKWIA,3.9090281850075144,1_1
GEDSAM01_GEDSAM,40.40544730987085,1_1
GEKGOV02_GEKGOV,1.673643353303703,1_2
GENQIB01_GENQIB,10.325041300258135,1_1
GESNUN01_GESNUN,18.340745309463728,1_1
GEVZEP01_GEVZEP,0.1529353748377389,1_1
GEWBAO01_GEWBAO,0.38090754010090677,1_1
GIGQUI01_GIGQUI,8.0420115203749,1_1
GIKBOT01_GIKBOT,0.0943604696363991,1_2
GINBIP01_GINBIP,5.250944468571106e-06,2_1
GINKIZ01_GINKIZ,6.866653935151589,2_1
GISNOM01_GISNOM,2.6255916282025282e-05,1_1
GIVJUQ01_GIVJUQ02,19.72777070544805,1_1
GIVJUQ01_GIVJUQ,5.808367394969991,1_1
GIVJUQ02_GIVJUQ,13.91940331047806,1_1
GIXXOB01_GIXXOB,1.906349294852248,1_1
GIYWAP01_GIYWAP02,3.341421339551175,1_1
GIYWAP01_GIYWAP,6.007275275160282,1_1
GIYWAP02_GIYWAP,9.348696614711457,1_1
GIZFIF01_GIZFIF,22.78235617020107,1_1
GNAPHB01_GNAPHB,0.6153909451566051,1_1
GOBVEA01_GOBVEA,10.010033809901302,1_2
GOKCOA01_GOKCOA02,0.0001575301249658878,1_1
GUHDIY01_GUHDIY,0.11063857001317956,1_2
GUQRIU01_GUQRIU04,0.00018378484730874334,1_1
HABFAS01_HABFAS,7.876476399815147e-05,1_1
HAFVIV01_HAFVIV,9.724694469797896,1_1
HAJYUN01_HAJYUN02,0.2760450698940531,1_1
HAKTAP01_HAKTAP,2.6255319312440406e-05,1_1
HANFOS01_HANFOS,6.478762565480224,1_1
HAXHET01_HAXHET,9.389208079313676,1_1
HAXMAW01_HAXMAW,6275.989450154915,1_1
HCCYHG04_HCCYHG05,0.0,1_1
HEBJOQ01_HEBJOQ,2.0025738700719558,1_1
HECPAJ01_HECPAJ,2.625472234285553e-05,2_1
HEHWOJ01_HEHWOJ,6.95732295202356,1_1
HESDIT01_HESDIT,0.004673390125503829,2_1
HESRAZ01_HESRAZ,3.1921879199637715,1_1
HETPAL01_HETPAL,0.06831813534154207,1_1
HEVXUB04_HEVXUB05,4.587299854602406,1_1
HEWLOL01_HEWLOL,5.426913750973142,1_1
HIBGUV01_HIBGUV02,0.7081761153342541,1_1
HIBGUV01_HIBGUV,0.2167087693871963,1_1
HIBGUV02_HIBGUV,0.9248848847214504,1_1
HICJAG01_HICJAG,5.251063862488081e-05,1_1
HIMGOA01_HIMGOA02,0.1395715799819186,1_1
HIMWIJ01_HIMWIJ,6.0386458358152595e-05,1_1
HIQQAB02_HIQQAB,2.7064966750169788,2_1
HIRQIK01_HIRQIK,16.413470780025477,1_1
HIRREH01_HIRREH,1.7589274699110433,1_1
HISGAS01_HISGAS,0.053954025117491256,1_1
HNIABZ11_HNIABZ20,6.619673150330414,1_1
HOFMAQ01_HOFMAQ,0.00010502008331059187,1_1
HOJQEE02_HOJQEE,30.115535200616478,1_1
HOJROP01_HOJROP,4.9782604344474635,1_1
HOKPUS01_HOKPUS,10.723539689986296,1_1
HOQABS01_HOQABS,0.5427696154533805,1_2
HPXCDP01_HPXCDP,32.085369085087564,1_1
HUGMIH03_HUGMIH,12.716189169946006,1_1
HULGIE01_HULGIE,3.6330618798774594,1_1
HUMFIG01_HUMFIG,1.547154639962173,1_1
HUMSEN01_HUMSEN,2.625472234285553e-05,1_1
HUTQAP02_HUTQAP,2.2143414490763575,1_1
HXACAN40_HXACAN47,0.8214900696117411,2_1
IBOBUY01_IBOBUY,2.6255916282025282e-05,1_1
IBOCEJ01_IBOCEJ,1.2580608357607161,1_1
ICAPOR04_ICAPOR06,6.826287506100925e-05,1_1
ICIMAI01_ICIMAI,35.04493770378804,1_1
ICUBAL01_ICUBAL,0.3826141149622799,1_1
ICUTOR01_ICUTOR02,0.00018378484730874334,1_1
IDONAS01_IDONAS,2.724743900164924,1_1
IDUQOO02_IDUQOO,5.250944468571106e-06,1_1
IDUTOT01_IDUTOT,4.382300814952828,1_1
IFAPOV01_IFAPOV,4.14101736457701,1_1
IFAWAP01_IFAWAP02,0.013521324682301383,1_1
IFILAL01_IFILAL02,8.375870099567805,1_1
IFILAL01_IFILAL,0.0002625502082764797,1_1
IFILAL02_IFILAL,8.376132649776082,1_1
IFOVOO01_IFOVOO03,2.4804936348234605,1_1
IFULUQ01_IFULUQ,9.165331695508712,1_4
IGAPIR01_IGAPIR,0.10906326995745985,1_1
IGASIS01_IGASIS,0.743200285060766,1_1
IGEBEC02_IGEBEC,2.032798625811779,1_1
IGUQEG01_IGUQEG,5.883141634590174,1_1
IHAPOX01_IHAPOX02,27.36033549987178,1_1
IHAPOX01_IHAPOX,57.711614344752775,1_1
IHAPOX02_IHAPOX,85.07194984462456,1_1
IHOZOW01_IHOZOW02,0.2674596849485624,1_1
IJAQIV01_IJAQIV02,28.110230809572386,1_1
IJATUK01_IJATUK,0.0002888055275889201,1_1
IJUDUN01_IJUDUN,3.788255185312437,1_1
