filename,energy
AWIHUK_m_1_water_R,-2216.9104422
AWIHUK_m_1_water_xR,-2216.91962979
AYEDUD01_m_1_gas_R,-1519.58482497
AYEDUD01_m_1_gas_xR,-1519.58647153
AYEDUD01_m_1_water_R,-1519.59835335
AYEDUD01_m_1_water_xR,-1519.6000554
AYEDUD01_m_2_gas_R,-1519.5847341
AYEDUD01_m_2_gas_xR,-1519.58647153
AYEDUD01_m_2_water_R,-1519.59842686
AYEDUD01_m_2_water_xR,-1519.60005538
AYEDUD_m_1_gas_R,-1519.58542397
AYEDUD_m_1_gas_xR,-1519.58647153
AYEDUD_m_1_water_R,-1519.5989408
AYEDUD_m_1_water_xR,-1519.6000554
AZADAG01_m_1_gas_R,-1242.48270255
AZADAG01_m_1_gas_xR,-1242.48342209
AZADAG01_m_1_water_R,-1242.50205691
AZADAG01_m_1_water_xR,-1242.50266323
AZADAG01_m_2_gas_R,-1242.48101681
AZADAG01_m_2_gas_xR,-1242.48342189
AZADAG01_m_2_water_R,-1242.50134515
AZADAG01_m_2_water_xR,-1242.50266142
AZADAG02_m_1_gas_R,-1242.48188379
AZADAG02_m_1_gas_xR,-1242.48342203
AZADAG02_m_1_water_R,-1242.501227
AZADAG02_m_1_water_xR,-1242.50242625
AZADAG_m_1_gas_R,-1242.47744538
AZADAG_m_1_gas_xR,-1242.47917444
AZADAG_m_1_water_R,-1242.50041465
AZADAG_m_1_water_xR,-1242.50260158
AZAFAJ01_m_1_gas_R,-1186.44879525
AZAFAJ01_m_1_gas_xR,-1186.44999296
AZAFAJ01_m_1_water_R,-1186.47242442
AZAFAJ01_m_1_water_xR,-1186.473997
AZAFAJ_m_1_gas_R,-1186.44875421
AZAFAJ_m_1_gas_xR,-1186.44999051
AZAFAJ_m_1_water_R,-1186.47311669
AZAFAJ_m_1_water_xR,-1186.47389745
AZAFAJ_m_2_gas_R,-1186.44876161
AZAFAJ_m_2_gas_xR,-1186.4500019
AZAFAJ_m_2_water_R,-1186.47320203
AZAFAJ_m_2_water_xR,-1186.47388266
AZAJAN01_m_1_gas_R,-1125.76327742
AZAJAN01_m_1_gas_xR,-1125.76348648
AZAJAN01_m_1_water_R,-1125.7803707
AZAJAN01_m_1_water_xR,-1125.78071797
