Refcodes,Delta_strain_energy,components
DUMVAJ_DUMVAJ01,4.162625229704531,1_1
DUNNIJ_DUNNIJ01,4.228919104462534,1_1
DUNWOZ_DUNWOZ01,0.04781035501957831,1_1
DUVZOJ02_DUVZOJ03,7.370789317454808,1_4
DUYCUW_DUYCUW01,3.4011252097526494,1_1
EBIGUR02_EBIGUR04,36.79110524521775,1_1
EBYBUA_EBYBUA01,12.621033173566559,1_1
ECOGUA_ECOGUA01,0.0,1_1
EFAWIT_EFAWIT01,0.1946283147802319,1_1
EFIKOU_EFIKOU02,0.829710509737879,1_1
EFUPEB_EFUPEB01,6.950223599883884,1_1
EGLDBZ10_EGLDBZ11,0.6784003195252808,1_1
EGOPIB_EGOPIB01,0.000210038972682014,1_1
EHANOT_EHANOT01,2.7137955654343386,1_1
EHULAV_EHULAV01,0.594885789709906,1_1
EJEQAL04_EJEQAL08,1.3113847397813743,2_1
ELOJOG_ELOJOG01,2.5050971951112047,1_1
EMAKUY_EMAKUY01,1.6251582462487022,1_1
EMULAB_EMULAB01,0.7199908645582127,1_1
ENSULF01_ENSULF02,0.0,1_1
ENSULF01_ENSULF03,0.0,1_1
ENSULF02_ENSULF03,0.0,1_1
EPANEQ_EPANEQ02,35.31735958379272,1_1
EPIFAM_EPIFAM01,0.843835700197701,1_1
EQUZIZ_EQUZIZ01,3.919661459786653,2_1
ERIXAE_ERIXAE01,1.8184738102860365,1_1
ESIVOR_ESIVOR01,1.698435949980194,1_1
ESIWUY_ESIWUY02,21.107707251181637,1_1
ESTRON11_ESTRON14,0.34678654207601767,1_1
ETEDOX_ETEDOX01,3.6114802700692508,1_1
ETEDOX_ETEDOX02,2.064168099982112,1_1
ETEDOX01_ETEDOX02,1.5473121700871388,1_1
ETEXIK_ETEXIK02,0.2836327652420323,2_2
EVAWUU_EVAWUU01,30.73691228455209,1_1
EVETUV_EVETUV01,2.1978323050535664,2_1
FABRAB10_FABRAB11,1.3291593748529067,1_1
FACSEI_FACSEI01,0.7047157059173514,1_1
FACZIT_FACZIT01,0.0,1_1
FADWUC_FADWUC01,306.4189281446004,1_1
FAFMOQ_FAFMOQ01,0.6301199999015239,1_1
FAHNOR_FAHNOR05,0.6019483852383019,1_1
FARPOF_FARPOF01,6.297681831000091,1_1
FARPOF_FARPOF02,13.076644064641869,1_1
FARPOF01_FARPOF02,6.778962233641778,1_1
FARRUM02_FARRUM03,2.3364061951394888,1_1
FAZTAC_FAZTAC01,1.955498655038582,1_2
FBPAZD02_FBPAZD07,1.524260280306521,1_1
FDMUPD10_FDMUPD11,0.9159844401229975,1_1
FECPUB_FECPUB01,0.25614377962790513,1_1
FEFREP_FEFREP01,0.0,1_1
FEFREP_FEFREP02,0.0001312748056534474,1_2
FEFREP_FEFREP03,0.0,1_1
FEFREP01_FEFREP02,0.0001312748056534474,1_2
FEFREP01_FEFREP03,0.0,1_1
FEFREP02_FEFREP03,0.0001312748056534474,2_1
FEGHAA06_FEGHAA07,7.138705619690938,2_2
FEGHAA06_FEGHAA14,1.0348959603039702,2_2
FEGHAA07_FEGHAA14,8.173601579994909,2_2
FEGWAP_FEGWAP01,9.550476791971505,1_1
FEHKOS_FEHKOS01,10.699411345844169,1_1
FEMMAL_FEMMAL01,9.721622635047424,1_1
FEPROJ_FEPROJ01,6.910460402629042,1_1
FEPROJ_FEPROJ02,9.305013546219925,1_1
FEPROJ01_FEPROJ02,2.3945531435908833,1_1
FEVKAT_FEVKAT01,15.1511566344725,1_1
FEVWUY_FEVWUY01,2.195836925261574,1_2
FEYBIU_FEYBIU01,3.815927955176903,1_1
FIFFAB_FIFFAB01,5.231518789345955,1_1
FIJBUW_FIJBUW01,1.9119153550889223,1_1
FINBUB_FINBUB01,0.5967236393769326,1_1
FIQMIE_FIQMIE01,0.6336119146867532,1_1
FIQWEI_FIQWEI01,6.140545655217807,2_1
FIRXUA_FIRXUA01,2.211694945305112,1_1
FISSUV_FISSUV01,2.000788529849615,1_1
FITYAL_FITYAL01,0.1920290701061731,1_1
FITYAL_FITYAL02,3.4936058218677886,1_1
FITYAL01_FITYAL02,3.6856348919739617,1_1
FITYOZ_FITYOZ01,0.09789964381729988,1_1
FITZAM_FITZAM01,0.10841739692267538,1_1
FIVBEU_FIVBEU01,8.303380045267204,1_2
FIVBEU_FIVBEU02,0.5727265700404587,1_1
FIVBEU01_FIVBEU02,7.730653475226745,2_1
FIVCIZ_FIVCIZ01,3.5355508095326513,1_1
FIZRUD_FIZRUD01,1.051145179889204,2_2
FIZRUD_FIZRUD02,1.0579189698900109,2_1
FIZRUD01_FIZRUD02,2.109064149779215,2_1
FOBSOE_FOBSOE01,1.8649976695835448,2_1
FOBSOE_FOBSOE03,4.205840959959573,2_1
FOBSOE01_FOBSOE03,6.070838629543118,1_1
FOCWUR_FOCWUR01,9.812674975641357,1_1
FODMAO_FODMAO01,2.6804779705692,1_1
FOFHIU_FOFHIU01,20.619679309679668,1_1
FOGVIG04_FOGVIG05,0.7916932700248935,1_1
FOGWII_FOGWII03,28.722103584922934,1_1
FOLVEK_FOLVEK01,2.161172448216007,1_1
FOMNEB01_FOMNEB03,1.2380282694949756,1_1
FOMSUY_FOMSUY01,0.06643302657732875,2_1
FOMVIO_FOMVIO02,6.51599215516535,1_1
FONYUE_FONYUE01,4.401598240635394,1_1
FOVBIC01_FOVBIC02,7.120145959765296,1_1
FOVRUE01_FOVRUE02,4.203661795021787,1_1
FOVRUE01_FOVRUE03,0.19431062935655063,1_1
FOVRUE01_FOVRUE04,0.33467248513704817,1_1
FOVRUE02_FOVRUE03,4.397972424378338,1_1
FOVRUE02_FOVRUE04,4.5383342801588356,1_1
FOVRUE03_FOVRUE04,0.14036185578049754,1_1
FOVYOE_FOVYOE11,0.47619218611225733,1_1
FOXREQ_FOXREQ01,1.2221177400067518,1_1
FOXREQ_FOXREQ02,5.7932182595933455,1_1
FOXREQ01_FOXREQ02,4.571100519586594,1_1
FPAMCA17_FPAMCA18,0.3897817293800472,1_1
FPAMCA17_FPAMCA19,1.9138844795616023,1_1
FPAMCA18_FPAMCA19,1.5241027501815552,1_1
FUHHOG_FUHHOG01,0.47135601491731904,1_1
FULPEH_FULPEH01,1.7403389297908234,1_1
FUQLIM01_FUQLIM02,2.773053099983258,1_1
FUQLIM01_FUQLIM07,2.2569060553521467,1_1
FUQLIM02_FUQLIM07,0.5161470446311114,1_1
FUQWAQ_FUQWAQ01,1.114498494105419,1_1
FURSEM03_FURSEM14,2.7294172893949735,1_1
FURSEM03_FURSEM16,2.4726433898641744,1_1
FURSEM14_FURSEM16,0.2567738995307991,1_1
FUXMOA_FUXMOA01,0.6448149238058818,1_1
FUYJAK_FUYJAK01,25.177311015222585,1_1
FUZMET_FUZMET01,0.5427801167453481,1_1
GADSIO_GADSIO01,0.5685625270503749,2_2
GADSUA_GADSUA01,1.8442562198448513,1_2
GAFPEI_GAFPEI01,7.742415714409049,1_1
GAKWIA_GAKWIA01,5.644982529603453,1_1
GEDSAM_GEDSAM01,4.575485104184509,1_1
GEKGOV_GEKGOV02,4.766007137706993,1_2
GENQIB_GENQIB01,3.100978050438812,1_1
GESNUN_GESNUN01,6.276310260761534,1_1
GEVZEP_GEVZEP01,3.1926605097416996,1_1
GEWBAO_GEWBAO01,2.11069195987659,1_1
GIGQUI_GIGQUI01,2.2072841053878847,1_1
GIKBOT_GIKBOT01,6.327218704656957,1_1
GINBIP_GINBIP01,0.7568817656387523,1_1
GINKIZ_GINKIZ01,0.059310044889059554,1_1
GISNOM_GISNOM01,9.966371743993705,1_1
GIVJUQ_GIVJUQ01,7.9424263054741004,1_1
GIVJUQ_GIVJUQ02,4.853210495411531,1_1
GIVJUQ01_GIVJUQ02,12.795636800885632,1_1
GIXXOB_GIXXOB01,1.0913678401577727,1_1
GIYWAP_GIYWAP01,6.374635235259575,1_1
GIYWAP_GIYWAP02,5.208755705092926,1_1
GIYWAP01_GIYWAP02,1.1658795301666487,1_1
GIZFIF_GIZFIF01,8.27405320998605,1_1
GNAPHB_GNAPHB01,2.1729950756475773,1_1
GOBVEA_GOBVEA01,7.830737534627815,2_1
GOKCOA01_GOKCOA02,0.17084128531189435,1_1
GUHDIY_GUHDIY01,1.9797320198609896,1_1
GUQRIU01_GUQRIU04,1.3547842548837252,1_1
HABFAS_HABFAS01,19.361487200307238,1_1
HAFVIV_HAFVIV01,35.899511700639096,1_1
HAJYUN01_HAJYUN02,1.4995280697899034,1_1
HAKTAP_HAKTAP01,1.5735671694238818,1_1
HANFOS_HANFOS01,5.321153360009134,1_1
HAXHET_HAXHET01,1.9363587594809815,1_1
HAXMAW_HAXMAW01,0.0,1_1
HCCYHG04_HCCYHG05,0.0,1_1
HEBJOQ_HEBJOQ01,1.8859229047665167,1_1
HECPAJ_HECPAJ01,0.9259088302352438,1_2
HEHWOJ_HEHWOJ01,0.5046578569490521,1_1
HESDIT_HESDIT01,0.924359784901867,1_2
HESRAZ_HESRAZ01,4.624970528995618,1_1
HETPAL_HETPAL01,4.7902772600361345,2_1
HEVXUB04_HEVXUB05,2.1869627347884943,1_1
HEWLOL_HEWLOL01,0.21407539327560698,1_1
HIBGUV_HIBGUV01,9.534135679664132,2_1
HIBGUV_HIBGUV02,0.5490183050376345,2_1
HIBGUV01_HIBGUV02,10.083153984701767,1_1
HICJAG_HICJAG01,3.272081885362013,1_1
HIMGOA01_HIMGOA02,10.26641388501514,1_1
HIMWIJ_HIMWIJ01,0.6954345636661401,1_1
HIQQAB_HIQQAB02,0.24398771543167186,1_1
HIRQIK_HIRQIK01,1.2853660347366258,1_1
HIRREH_HIRREH01,3.6973866298642974,1_1
HISGAS_HISGAS01,1.8737668399733138,1_1
HNIABZ11_HNIABZ20,0.3414987851795104,1_1
HOFMAQ_HOFMAQ01,1.1706054303338078,1_1
HOJQEE_HOJQEE02,0.8819054493553722,1_1
HOJROP_HOJROP01,10.081610190909828,1_1
HOKPUS_HOKPUS01,0.6965714050829774,1_1
HOQABS_HOQABS01,12.855524454740475,1_1
HPXCDP_HPXCDP01,58.413541769905805,1_1
HUGMIH_HUGMIH03,6.096962354671177,1_1
HULGIE_HULGIE01,1.4090270855288054,1_1
HUMFIG_HUMFIG01,12.984909095297326,1_1
HUMSEN_HUMSEN01,4.185624609443494,1_1
HUTQAP_HUTQAP02,1.2725667226793576,1_1
HXACAN40_HXACAN47,3.9079858614865657,1_1
IBOBUY_IBOBUY01,9.548733459304913,1_1
IBOCEJ_IBOCEJ01,10.158558344821813,1_1
ICAPOR04_ICAPOR06,0.5522292916074321,1_1
ICIMAI_ICIMAI01,15.789835765492626,1_1
ICUBAL_ICUBAL01,5.2639699700162055,1_1
ICUTOR01_ICUTOR02,5.3898889502116845,1_1
IDONAS_IDONAS01,7.142756766031766,1_1
IDUQOO_IDUQOO02,0.9776101759984499,1_1
IFAPOV_IFAPOV01,4.735614350550236,1_1
IFILAL_IFILAL01,1.2466399097597787,1_1
IFILAL_IFILAL02,9.782744274582683,1_1
IFILAL01_IFILAL02,11.029384184342462,1_1
IFOVOO01_IFOVOO03,15.288417774710979,1_1
IFULUQ_IFULUQ01,0.0007613941115778289,2_1
IGAPIR_IGAPIR01,0.9286918600550962,1_1
IGASIS_IGASIS01,1.7332500801370543,1_1
IGEBEC_IGEBEC02,5.0473399650945225,1_1
IGUQEG_IGUQEG01,1.8696710603060183,1_1
IHAPOX_IHAPOX01,44.84078322451069,1_1
IHAPOX_IHAPOX02,9.088640839666596,1_1
IHAPOX01_IHAPOX02,35.75214238484409,1_1
IHOZOW01_IHOZOW02,25.283591254763223,1_1
IJAQIV01_IJAQIV02,5.425858300091022,1_1
IJATUK_IJATUK01,0.42509470582808717,1_1
IJUDUN_IJUDUN01,4.37581583047961,1_1
