Refcodes,Delta_conformational_energy(kJ/mol),components
DORDUM01_DORDUM03,9.523213599954374,1_1
DORDUM01_DORDUM04,9.523161089912719,1_1
DORDUM01_DORDUM05,9.523213599954374,1_1
DORDUM01_DORDUM06,9.523344874760028,1_1
DORDUM01_DORDUM07,0.0002625502082764797,1_1
DORDUM01_DORDUM09,8.368597465066728,1_1
DORDUM01_DORDUM10,9.523423640120996,1_2
DORDUM02_DORDUM03,4.994961239734266,2_1
DORDUM02_DORDUM04,4.994908729692611,2_1
DORDUM02_DORDUM05,4.994961239734266,2_1
DORDUM02_DORDUM06,4.99509251453992,2_1
DORDUM02_DORDUM07,9.52365993500996,1_1
DORDUM02_DORDUM09,3.8403451048466195,2_1
DORDUM02_DORDUM10,4.995171279900887,2_2
DORDUM03_DORDUM04,5.2510041655295936e-05,1_1
DORDUM03_DORDUM05,0.0,1_1
DORDUM03_DORDUM06,0.0001312748056534474,1_1
DORDUM03_DORDUM07,9.52347615016265,1_1
DORDUM03_DORDUM09,1.1546161348876467,1_1
DORDUM03_DORDUM10,0.08162679498195757,1_1
DORDUM04_DORDUM05,5.2510041655295936e-05,1_1
DORDUM04_DORDUM06,0.00018378484730874334,1_1
DORDUM04_DORDUM07,9.523423640120996,1_1
DORDUM04_DORDUM09,1.1545636248459914,1_1
DORDUM04_DORDUM10,0.08157428494030228,1_1
DORDUM05_DORDUM06,0.0001312748056534474,1_1
DORDUM05_DORDUM07,9.52347615016265,1_1
DORDUM05_DORDUM09,1.1546161348876467,1_1
DORDUM05_DORDUM10,0.08162679498195757,1_1
DORDUM06_DORDUM07,9.523607424968304,1_1
DORDUM06_DORDUM09,1.1547474096933001,1_1
DORDUM06_DORDUM10,0.08175806978761102,1_1
DORDUM07_DORDUM09,8.368860015275004,1_1
DORDUM07_DORDUM10,9.523686190329272,1_2
DORDUM09_DORDUM10,1.1548261750542679,1_2
DOZYAS01_DOZYAS,8.426673525170827,1_1
DPOBCO01_DPOBCO,6.361155918133022,1_1
DUMVAJ01_DUMVAJ,7.356598489890644,1_1
DUNNIJ01_DUNNIJ,11.564854909975452,1_1
DUNWOZ01_DUNWOZ,0.0,1_1
DUVZOJ02_DUVZOJ03,3.018805150963942,2_3
DUYCUW01_DUYCUW,0.4552616999848169,1_1
EBIGUR02_EBIGUR04,4.2153190150162345,1_1
EBYBUA01_EBYBUA,0.16105604642200433,1_1
ECOGUA01_ECOGUA,3.9490565579428676,1_2
EFAWIT01_EFAWIT,2.1424342549844937,2_1
EFIKOU02_EFIKOU,1.5440040404477031,1_1
EFUPEB01_EFUPEB,6.327822570434478,1_1
EGLDBZ10_EGLDBZ11,0.00039645048616421263,1_1
EGOPIB01_EGOPIB,0.015359174946297571,1_1
EHANOT01_EHANOT,0.00018378484730874334,1_1
EHULAV01_EHULAV,0.00010502008331059187,1_1
EJEQAL04_EJEQAL08,9.808789234946744,2_1
ELOJOG01_ELOJOG,1.1088772995487943,1_1
EMAKUY01_EMAKUY,0.00013127599959261715,1_1
EMULAB01_EMULAB,0.053691474909214776,1_1
ENSULF01_ENSULF02,0.00039382561089951196,1_1
ENSULF01_ENSULF03,4.085330509875803,1_2
ENSULF02_ENSULF03,4.084936684264903,1_2
EPANEQ02_EPANEQ,1.043504975096539,1_1
EPIFAM01_EPIFAM,0.1747007700902259,1_1
EQUZIZ01_EQUZIZ,0.8899394803559062,1_2
ERIXAE01_ERIXAE,4.539489500179798,1_1
ESIVOR01_ESIVOR,3.9658702600281686,1_1
ESIWUY02_ESIWUY,24.897353952299454,1_1
ESTRON11_ESTRON14,0.04820418003350824,1_1
ETEDOX01_ETEDOX02,8.573596505313276,1_2
ETEDOX01_ETEDOX,0.00010502008331059187,1_1
ETEDOX02_ETEDOX,8.573491485229965,2_1
ETEXIK02_ETEXIK,0.01110586515403611,2_2
EVAWUU01_EVAWUU,7.876476399815147e-05,1_1
EVETUV01_EVETUV,0.040826524852150214,1_1
FABRAB10_FABRAB11,0.0002625502082764797,1_1
FACSEI01_FACSEI,0.28246441756141394,1_1
FACZIT01_FACZIT,2.981005827535796,1_1
FADWUC01_FADWUC,5.9143850848993225,1_1
FAFMOQ01_FAFMOQ,4.298127285039982,1_1
FAHNOR05_FAHNOR,6.0592864299304665,1_1
FARPOF01_FARPOF02,0.062303115174017876,1_1
FARPOF01_FARPOF,0.00010502008331059187,1_1
FARPOF02_FARPOF,0.06240813525732847,1_1
FARRUM02_FARRUM03,0.6852555003592897,1_1
FAZTAC01_FAZTAC,4.4615121498095505,1_1
FBPAZD02_FBPAZD07,1.5231050599870741,1_1
FDMUPD10_FDMUPD11,10.4247840452839,1_1
FECPUB01_FECPUB,0.0002625496113068948,1_1
FEFREP01_FEFREP02,11.017700709924156,1_1
FEFREP01_FEFREP03,11.017674454604844,1_1
FEFREP01_FEFREP,11.017674454604844,1_1
FEFREP02_FEFREP03,5.2510041655295936e-05,1_2
FEFREP02_FEFREP,5.2510041655295936e-05,3_1
FEFREP03_FEFREP,2.625472234285553e-05,2_1
FEGHAA06_FEGHAA07,1.408990328022071,1_1
FEGHAA06_FEGHAA14,1.4089666984734777,1_2
FEGHAA07_FEGHAA14,1.0267306553932372,2_2
FEGWAP01_FEGWAP,3.413143753050463e-05,1_1
FEHKOS01_FEHKOS,3.019850099957125,1_1
FEMMAL01_FEMMAL,3.2739722444737254,1_1
FEPROJ01_FEPROJ02,0.00011552197224773408,1_1
FEPROJ01_FEPROJ,4.388604640647941,1_1
FEPROJ02_FEPROJ,4.388489118675693,1_1
FEVKAT01_FEVKAT,1.582388849855306,1_1
FEVWUY01_FEVWUY,1.3854238400123222,2_1
FEYBIU01_FEYBIU,2.9892367701478406,1_1
FIFFAB01_FIFFAB,5.930584419915135,1_1
FIJBUW01_FIJBUW,3.888680559685781,1_1
FINBUB01_FINBUB,0.14881333985113088,1_1
FIQMIE01_FIQMIE,3.001497855024354,1_1
FIQWEI01_FIQWEI,0.1719965044374021,1_2
FIRXUA01_FIRXUA,0.3057657301891368,1_1
FISSUV01_FISSUV,0.14981103004561191,1_1
FITYAL01_FITYAL02,1.0471544200067342,1_2
FITYAL01_FITYAL,1.837860412479131e-05,1_1
FITYAL02_FITYAL,1.047172798610859,2_1
FITYOZ01_FITYOZ,0.00048571743758429875,1_1
